System no.,AMR,apol,Si,McG_Vol,VABC,MLFER_A,MLFER_BH,MLFER_S,MLFER_E,MW,TopoPSA,SolvAccSA
1,44.7549,22.785137,152.2386749,1.1724,141.6992558,0.455,0.845,1.808,1.168,151.0633285,49.33,452.6466418
2,43.1494,21.983137,144.0841539,1.1137,132.9090291,-0.088,0.595,1.51,0.995,135.0684139,29.1,365.3405712
3,63.2043,33.727516,220.4953689,1.6999,213.0408051,-0.01,1.385,2.074,1.688,232.0847922,69.97,591.236251
4,67.3498,31.30793,175.8255269,1.4544,162.4756565,0.003,0.257,1.261,2.128,178.0782503,0,392.6178257
5,67.3498,31.30793,175.8255269,1.4544,162.4756565,0.003,0.257,1.261,2.128,178.0782503,0,392.6178257
6,61.4268,28.221137,162.9004114,1.3154,141.5169061,0.374,0.551,1.382,1.962,167.0734993,12.03,390.5042538
7,61.4268,28.221137,162.9004114,1.3154,141.5169061,0.374,0.551,1.382,1.962,167.0734993,12.03,390.5042538
8,70.1634,32.91193,192.1345689,1.6374,200.6761099,0.003,0.849,1.921,1.566,210.0680796,34.14,487.058396
9,70.1634,32.91193,192.1345689,1.6374,200.6761099,0.003,0.849,1.921,1.566,210.0680796,34.14,487.058396
10,70.1634,32.91193,192.1345689,1.6374,200.6761099,0.003,0.849,1.921,1.566,210.0680796,34.14,487.058396
11,70.1634,32.91193,192.1345689,1.6374,200.6761099,0.003,0.849,1.921,1.566,210.0680796,34.14,487.058396
12,70.1634,32.91193,192.1345689,1.6374,200.6761099,0.003,0.849,1.921,1.566,210.0680796,34.14,487.058396
13,70.1634,32.91193,192.1345689,1.6374,200.6761099,0.003,0.849,1.921,1.566,210.0680796,34.14,487.058396
14,70.1634,32.91193,192.1345689,1.6374,200.6761099,0.003,0.849,1.921,1.566,210.0680796,34.14,487.058396
15,70.9511,34.356137,225.9536449,1.7922,226.2127809,0.671,1.477,2.075,1.663,282.0616122,61.69,533.0020042
16,70.9511,34.356137,225.9536449,1.7922,226.2127809,0.671,1.477,2.075,1.663,282.0616122,61.69,533.0020042
17,49.7123,26.75193,186.4906168,1.3632,162.3330777,0.003,1.312,0.996,1.595,194.0803756,56.22,457.9474004
18,49.7123,26.75193,186.4906168,1.3632,162.3330777,0.003,1.312,0.996,1.595,194.0803756,56.22,457.9474004
19,49.7123,26.75193,186.4906168,1.3632,162.3330777,0.003,1.312,0.996,1.595,194.0803756,56.22,457.9474004
20,61.4268,28.221137,162.9004114,1.3154,141.5169061,0.374,0.551,1.382,1.962,167.0734993,12.03,390.5042538
21,61.4268,28.221137,162.9004114,1.3154,141.5169061,0.374,0.551,1.382,1.962,167.0734993,12.03,390.5042538
22,61.4268,28.221137,162.9004114,1.3154,141.5169061,0.374,0.551,1.382,1.962,167.0734993,12.03,390.5042538
23,36.955,17.924758,112.3645856,0.9317,113.406511,0.591,0.459,0.934,0.776,122.0367794,37.3,347.8802455
24,36.955,17.924758,112.3645856,0.9317,113.406511,0.591,0.459,0.934,0.776,122.0367794,37.3,347.8802455
25,36.955,17.924758,112.3645856,0.9317,113.406511,0.591,0.459,0.934,0.776,122.0367794,37.3,347.8802455
26,36.955,17.924758,112.3645856,0.9317,113.406511,0.591,0.459,0.934,0.776,122.0367794,37.3,347.8802455
27,36.955,17.924758,112.3645856,0.9317,113.406511,0.591,0.459,0.934,0.776,122.0367794,37.3,347.8802455
28,61.4268,28.221137,162.9004114,1.3154,141.5169061,0.374,0.551,1.382,1.962,167.0734993,12.03,390.5042538
29,67.3498,31.30793,175.8255269,1.4544,162.4756565,0.003,0.257,1.261,2.128,178.0782503,0,392.6178257
30,67.3498,31.30793,175.8255269,1.4544,162.4756565,0.003,0.257,1.261,2.128,178.0782503,0,392.6178257
31,67.3498,31.30793,175.8255269,1.4544,162.4756565,0.003,0.257,1.261,2.128,178.0782503,0,392.6178257
32,67.3498,31.30793,175.8255269,1.4544,162.4756565,0.003,0.257,1.261,2.128,178.0782503,0,392.6178257
33,67.3498,31.30793,175.8255269,1.4544,162.4756565,0.003,0.257,1.261,2.128,178.0782503,0,392.6178257
34,67.3498,31.30793,175.8255269,1.4544,162.4756565,0.003,0.257,1.261,2.128,178.0782503,0,392.6178257
35,67.3498,31.30793,175.8255269,1.4544,162.4756565,0.003,0.257,1.261,2.128,178.0782503,0,392.6178257
36,67.3498,31.30793,175.8255269,1.4544,162.4756565,0.003,0.257,1.261,2.128,178.0782503,0,392.6178257
37,67.3498,31.30793,175.8255269,1.4544,162.4756565,0.003,0.257,1.261,2.128,178.0782503,0,392.6178257
38,67.3498,31.30793,175.8255269,1.4544,162.4756565,0.003,0.257,1.261,2.128,178.0782503,0,392.6178257
39,27.8924,10.7,12.51647904,0.625,59.11006204,0.003,0.071,0.673,1.314,253.808946,0,246.7017444
40,27.8924,10.7,12.51647904,0.625,59.11006204,0.003,0.071,0.673,1.314,253.808946,0,246.7017444
41,49.1528,22.934344,132.569188,1.0854,121.8210941,0.003,0.197,0.919,1.392,128.0626003,0,491.3750998
42,71.1496,36.381102,232.8602108,1.7821,214.739254,0.591,0.744,1.398,1.519,230.0942943,46.53,530.8326118
43,41.6712,19.437965,111.9868533,1.0541,128.6175787,0.591,0.448,1.067,0.911,155.9978071,37.3,365.9606757
44,41.6712,19.437965,111.9868533,1.0541,128.6175787,0.646,0.448,1.067,0.911,155.9978071,37.3,414.4300426
45,37.554,19.031551,131.170779,1.0119,119.4222761,0.157,0.958,1.496,1.063,139.0507525,63.32,368.9528382
46,36.7191,18.364758,123.0279988,0.9904,118.1040468,0.334,0.487,1.571,1.171,138.0429274,71.84,428.3228771
47,43.3296,21.820344,143.5473617,1.1313,139.4927223,0.546,0.768,1.282,0.877,152.0473441,46.53,409.0684729
48,45.2739,22.785137,152.2386749,1.1724,141.6992558,0.25,0.736,1.418,0.979,151.0633285,52.32,400.3775841
49,47.6234,24.91393,166.5756168,1.2722,156.7887069,0.546,0.768,1.282,0.877,166.0629942,46.53,477.2639982
50,49.5677,25.878723,175.2669299,1.3133,158.9952404,0.25,0.736,1.418,0.979,165.0789786,52.32,468.5731094
51,51.1554,28.007516,189.6038719,1.4131,174.0846916,0.546,0.768,1.282,0.877,180.0786442,46.53,507.7935048
52,53.0997,28.972309,198.295185,1.4542,176.2912251,0.25,0.736,1.418,0.979,179.0946287,52.32,499.1026159
53,54.067,31.101102,212.6321269,1.554,191.3806762,0.546,0.768,1.282,0.877,194.0942943,46.53,534.507318
54,56.0113,32.065895,221.3234401,1.5951,193.5872097,0.25,0.736,1.418,0.979,193.1102787,52.32,525.8164291
55,44.7549,22.785137,152.2386749,1.1724,141.6992558,0.455,0.845,1.808,1.168,151.0633285,49.33,452.6466418
56,44.7549,22.785137,152.2386749,1.1724,141.6992558,0.455,0.845,1.808,1.168,151.0633285,49.33,452.6466418
57,44.7549,22.785137,152.2386749,1.1724,141.6992558,0.455,0.845,1.808,1.168,151.0633285,49.33,452.6466418
58,44.7549,22.785137,152.2386749,1.1724,141.6992558,0.455,0.845,1.808,1.168,151.0633285,49.33,452.6466418
59,44.9749,22.598344,145.5171581,1.1969,139.2495295,0.606,0.566,1.876,1.315,172.0306485,94.56,429.6109546
60,44.9749,22.598344,145.5171581,1.1969,139.2495295,0.606,0.566,1.876,1.315,172.0306485,94.56,429.6109546
61,78.3058,39.359102,252.236115,2.0043,233.8531229,0.606,1.466,2.992,2.369,278.0837467,105.29,636.9436915
62,78.3058,39.359102,252.236115,2.0043,233.8531229,0.606,1.466,2.992,2.369,278.0837467,105.29,636.9436915
63,54.4797,26.433551,155.6326653,1.3379,161.5330707,0.371,0.121,0.983,1.624,187.0395191,60.36,453.9952114